title
Toy Story
Jumanji
Grumpier Old Men
Waiting to Exhale
Father of the Bride Part II
Heat (1995)
Sabrina (1995)
Tom and Huck
Sudden Death
GoldenEye
The American President
Dracula: Dead and Loving It
Balto
Nixon
Cutthroat Island
Casino
Sense and Sensibility (1995)
Four Rooms
Ace Ventura: When Nature Calls
Money Train
Get Shorty
Copycat
Assassins
Powder
Leaving Las Vegas
Othello (1995)
Now and Then
Persuasion (1995)
The City of Lost Children
Shanghai Triad
Dangerous Minds
Twelve Monkeys
Babe
Carrington
Dead Man Walking
It Takes Two (1995)
Clueless
"Cry, the Beloved Country (1995)"
Richard III (1995)
Dead Presidents
Restoration (1995)
Mortal Kombat
To Die For
How To Make An American Quilt
Se7en
Pocahontas
When Night Is Falling
The Usual Suspects
Guardian Angel
Mighty Aphrodite
Lamerica
The Big Green
Georgia
Kids of the Round Table
Home for the Holidays (1995)
The Postman (1994)
The Confessional
The Indian in the Cupboard
Eye for an Eye
Mr. Holland's Opus
Don't Be a Menace to South Central While Drinking Your Juice in the Hood
Two If by Sea
Bio-Dome
Lawnmower Man 2: Beyond Cyberspace
Two Bits
French Twist
Friday (1995)
From Dusk Till Dawn
Fair Game (1995)
Kicking and Screaming
Les Miserables (1995)
Bed of Roses (1996)
Big Bully
Screamers (1995)
Nico Icon
The Crossing Guard
The Juror
The White Balloon
Things to Do in Denver When You're Dead
Antonia's Line
Once Upon a Time... When We Were Colored
Last Summer in the Hamptons
Angels and Insects
White Squall
Dunston Checks In
Black Sheep (1996)
Nick of Time
The Journey of August King
Mary Reilly
Vampire in Brooklyn
Beautiful Girls
Broken Arrow (1996)
A Midwinter's Tale
La Haine
Shopping
Heidi Fleiss: Hollywood Madam
City Hall
Bottle Rocket
Mr. Wrong
Unforgettable (1996)
Happy Gilmore
The Bridges of Madison County
Nobody Loves Me
Muppet Treasure Island
Catwalk
Headless Body in Topless Bar
Braveheart
Taxi Driver
Rumble in the Bronx
Before and After
Margaret's Museum
Happiness Is in the Field
Anne Frank Remembered
The Young Poisoner's Handbook
If Lucy Fell
Steal Big Steal Little
Race the Sun
The Boys of St. Vincent
Boomerang
Chungking Express
The Star Maker
Flirting with Disaster
The Neverending Story III: Escape from Fantasia
The Silences of the Palace
